method;Replicate number;id_sample;gradient;alti;INat;abundance;stade;state;sexe;mass;referential;canonic;id;rankName;referenceName;familyName;orderName;className;phylumName
barber;2;ANI-21-0630;BOU;1620;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;2;ANI-21-0641;BOU;1830;0;1;NA;NA;NA;0.0056;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0641;BOU;1830;0;1;NA;NA;NA;0.0148;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0707;CAU;2020;0;2;ad;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;2;ANI-21-0718;CAU;2225;0;1;NA;NA;NA;0.0073;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0817;RIS;1900;0;1;NA;NA;NA;0.0055;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0817;RIS;1900;0;1;NA;NA;NA;0.0111;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0817;RIS;1900;0;1;NA;NA;NA;0.0149;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0828;RIS;2195;0;1;NA;NA;NA;0.0085;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0894;TAN;1700;0;1;NA;NA;NA;0.0049;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0894;TAN;1700;0;1;NA;NA;NA;0.0054;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0894;TAN;1700;0;1;NA;NA;NA;0.0063;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0894;TAN;1700;0;1;NA;NA;NA;0.0068;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0894;TAN;1700;0;1;NA;NA;NA;0.0138;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0894;TAN;1700;0;1;NA;NA;NA;0.0219;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0916;TAN;2100;0;4;NA;NA;NA;0.0046;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0916;TAN;2100;0;4;NA;NA;NA;0.0177;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0916;TAN;2100;0;4;NA;NA;NA;0.0204;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0916;TAN;2100;0;4;NA;NA;NA;0.0205;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0949;VCHA;1910;1;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;2;ANI-22-0002;ARM;1520;1;1;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;2;ANI-22-0013;ARM;1750;1;2;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;2;ANI-22-0057;MSB;1420;0;1;mue;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;2;ANI-22-0068;MSB;1890;0;1;NA;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;2;ANI-22-0101;PEC;1152;0;2;NA;NA;NA;NA;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-22-0101;PEC;1152;0;2;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;2;ANI-22-0255;VTN;1130;0;1;juv;NA;NA;NA;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-22-0255;VTN;1130;0;2;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;2;ANI-22-0288;VTN;1675;0;3;ad;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;3;ANI-21-0554;ARG;1620;0;2;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;3;ANI-21-0587;ARG;2230;0;1;NA;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;3;ANI-21-0631;BOU;1620;0;1;NA;NA;NA;0.0047;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0653;BOU;2000;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;3;ANI-21-0675;CAU;1400;0;1;NA;NA;NA;0.0068;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0708;CAU;2020;0;1;NA;NA;NA;0.1213;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0719;CAU;2225;0;1;NA;NA;NA;0.0087;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0719;CAU;2225;0;1;NA;NA;NA;0.0164;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0741;CAU;2650;0;1;NA;NA;NA;0.0049;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0741;CAU;2650;0;1;NA;NA;NA;0.0064;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0741;CAU;2650;0;1;NA;NA;NA;0.0125;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0774;MOU;2160;0;1;NA;NA;NA;0.0903;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0829;RIS;2195;0;1;NA;NA;NA;0.0226;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0829;RIS;2195;0;1;NA;NA;NA;0.0354;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0840;RIS;2340;0;1;NA;NA;NA;0.0175;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0917;TAN;2100;0;1;NA;NA;NA;0.0039;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0917;TAN;2100;0;1;NA;NA;NA;0.008;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0961;VCHA;2150;0;0;NA;NA;NA;NA;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0961;VCHA;2150;0;1;NA;NA;NA;0.0087;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0961;VCHA;2150;0;1;NA;NA;NA;0.0132;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0961;VCHA;2150;0;1;NA;NA;NA;0.0156;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-21-0961;VCHA;2150;1;2;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;3;ANI-21-0961;VCHA;2150;1;2;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;3;ANI-21-0972;VCHA;2330;0;1;NA;NA;NA;0.0106;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-22-0003;ARM;1520;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;3;ANI-22-0014;ARM;1750;0;1;mue;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;3;ANI-22-0014;ARM;1750;1;1;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;3;ANI-22-0047;MSB;1370;0;1;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;3;ANI-22-0080;MSB;2020;0;1;mue;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;3;ANI-22-0113;PEC;1375;0;1;NA;NA;NA;NA;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;3;ANI-22-0113;PEC;1375;1;1;ad;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;3;ANI-22-0201;VER;1200;0;1;mue;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;3;ANI-22-0267;VTN;1340;0;1;ad;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;3;ANI-22-0267;VTN;1340;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-21-0544;ARG;1420;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;4;ANI-21-0588;ARG;2230;0;3;NA;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-21-0610;BOU;1240;0;1;NA;NA;NA;0.0066;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0610;BOU;1240;0;1;NA;NA;NA;0.0208;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0654;BOU;2000;0;1;NA;NA;NA;0.0068;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0709;CAU;2020;0;1;NA;NA;NA;0.0659;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0709;CAU;2020;0;1;NA;NA;NA;0.0874;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0709;CAU;2020;0;4;NA;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-21-0742;CAU;2650;0;1;NA;NA;NA;0.0153;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0819;RIS;1900;0;1;NA;NA;NA;0.0027;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0819;RIS;1900;0;1;NA;NA;NA;0.0206;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0819;RIS;1900;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;4;ANI-21-0874;RIS;2890;0;1;NA;NA;NA;0.0186;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0918;TAN;2100;0;1;NA;NA;NA;0.002;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0918;TAN;2100;0;1;NA;NA;NA;0.0067;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0918;TAN;2100;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-21-0962;VCHA;2150;0;1;NA;NA;NA;0.0147;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-21-0984;VCHA;2510;0;1;NA;NA;NA;0.0027;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-22-0004;ARM;1520;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-22-0048;MSB;1370;0;1;mue;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-22-0059;MSB;1420;0;1;œuf;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-22-0103;PEC;1152;0;1;NA;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;4;ANI-22-0103;PEC;1152;0;3;NA;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;4;ANI-22-0103;PEC;1152;1;1;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;4;ANI-22-0114;PEC;1375;0;1;juv;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;4;ANI-22-0147;VAL;1860;1;1;NA;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-22-0268;VTN;1340;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;4;ANI-22-0279;VTN;1510;0;1;ad;NA;NA;NA;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;4;ANI-22-0301;VTN;1860;0;1;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;5;ANI-21-0545;ARG;1420;0;1;ad;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;5;ANI-21-0567;ARG;1790;0;1;NA;NA;NA;9,00E-04;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0600;ARG;2400;0;1;NA;NA;NA;0.0053;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0611;BOU;1240;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;5;ANI-21-0622;BOU;1440;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;5;ANI-21-0644;BOU;1830;0;1;NA;NA;NA;0.0023;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0644;BOU;1830;0;1;NA;NA;NA;0.0028;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0644;BOU;1830;0;1;NA;NA;NA;0.0087;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0644;BOU;1830;0;1;NA;NA;NA;0.0106;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0677;CAU;1400;0;2;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;5;ANI-21-0677;CAU;1400;0;10;ad;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;5;ANI-21-0710;CAU;2020;0;4;ad;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;5;ANI-21-0743;CAU;2650;0;1;NA;NA;NA;0.021;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0743;CAU;2650;0;1;NA;NA;NA;0.0232;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0820;RIS;1900;0;1;NA;NA;NA;0.0136;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0820;RIS;1900;0;1;NA;NA;NA;0.0158;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0820;RIS;1900;0;1;NA;NA;NA;0.0195;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0842;RIS;2340;0;1;NA;NA;NA;0.0092;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0886;TAN;1420;0;1;NA;NA;NA;0.0076;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;NA;0.002;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;NA;0.0025;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;NA;0.0076;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;NA;0.0097;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;NA;0.0215;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;5;ANI-21-0908;TAN;1890;0;1;NA;NA;NA;0.0072;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;NA;NA;NA;0.0096;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0952;VCHA;1910;1;1;NA;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;NA;NA;NA;0.0063;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;1;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;5;ANI-21-0974;VCHA;2330;0;1;NA;NA;NA;0.0073;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
