"","method","Replicate number","ANI","yr","nb","gradient","alti","INat","abundance","stade","état","sexe","Mass","referential","canonic","id","rankName","referenceName","familyName","orderName","className","phylumName"
"50","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"mâle","0,049","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"51","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"mâle","0,057","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"52","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"mâle","0,061","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"53","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"mâle","0,073","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"54","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"55","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,08","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"56","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,14","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"57","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,148","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"58","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,166","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"59","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,121","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"60","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,126","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"61","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,137","taxref","Abax ovalis",9157,"Espèce","Abax ovalis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"62","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,421","taxref","Carabus intricatus",8395,"Espèce","Carabus intricatus Linnaeus, 1761","Carabidae","Coleoptera","Insecta","Arthropoda"
"63","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,26","taxref","Carabus intricatus",8395,"Espèce","Carabus intricatus Linnaeus, 1761","Carabidae","Coleoptera","Insecta","Arthropoda"
"64","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,318","taxref","Carabus intricatus",8395,"Espèce","Carabus intricatus Linnaeus, 1761","Carabidae","Coleoptera","Insecta","Arthropoda"
"65","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,387","taxref","Carabus intricatus",8395,"Espèce","Carabus intricatus Linnaeus, 1761","Carabidae","Coleoptera","Insecta","Arthropoda"
"66","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"male",NA,"taxref","Coelotes terrestris",1846,"Espèce","Coelotes terrestris (Wider, 1834)","Agelenidae","Araneae","Arachnida","Arthropoda"
"67","barber",1,"ANI","21","0607","BOU","1240",0,7,"adulte",NA,"Femelle",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"68","barber",1,"ANI","21","0607","BOU","1240",0,1,NA,NA,"hermaphrodite",NA,"taxref","Gastropoda",186338,"Classe","Gastropoda Cuvier, 1795",NA,NA,"Gastropoda","Mollusca"
"69","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,NA,NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"70","barber",1,"ANI","21","0607","BOU","1240",0,1,"juvenile",NA,"indeterminé",NA,"taxref","Linyphiidae",184366,"Famille","Linyphiidae Blackwall, 1859","Linyphiidae","Araneae","Arachnida","Arthropoda"
"71","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"inconnu","0,004","taxref","Notiophilus substriatus",8533,"Espèce","Notiophilus substriatus G.R. Waterhouse, 1833","Carabidae","Coleoptera","Insecta","Arthropoda"
"72","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,106","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"73","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,114","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"74","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"femelle","0,134","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"75","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,054","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"76","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"mâle","0,09","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"77","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"78","barber",1,"ANI","21","0607","BOU","1240",0,1,"adulte",NA,"male",NA,"taxref","Tenuiphantes zimmermanni",233788,"Espèce","Tenuiphantes zimmermanni (Bertkau, 1890)","Linyphiidae","Araneae","Arachnida","Arthropoda"
"79","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"male",NA,"taxref","Amaurobius fenestralis",1068,"Espèce","Amaurobius fenestralis (Strøm, 1768)","Amaurobiidae","Araneae","Arachnida","Arthropoda"
"80","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,004","taxref","Calathus micropterus",222357,"Espèce","Calathus micropterus (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"81","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,334","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"82","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,423","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"83","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,428","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"84","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,429","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"85","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,44","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"86","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,45","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"87","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,483","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"88","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,539","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"89","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,569","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"90","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,593","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"91","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,312","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"92","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,336","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"93","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,36","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"94","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,367","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"95","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,378","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"96","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,396","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"97","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,412","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"98","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,433","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"99","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,448","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"100","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,468","taxref","Carabus problematicus",8428,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"101","barber",1,"ANI","21","0618","BOU","1440",0,2,"adulte",NA,"male",NA,"taxref","Coelotes terrestris",1846,"Espèce","Coelotes terrestris (Wider, 1834)","Agelenidae","Araneae","Arachnida","Arthropoda"
"102","barber",1,"ANI","21","0618","BOU","1440",0,4,NA,NA,"hermaphrodite",NA,"taxref","Gastropoda",186338,"Classe","Gastropoda Cuvier, 1795",NA,NA,"Gastropoda","Mollusca"
"103","barber",1,"ANI","21","0618","BOU","1440",0,2,"adulte",NA,NA,NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"104","barber",1,"ANI","21","0618","BOU","1440",0,1,"juvenile",NA,"indeterminé",NA,"taxref","Harpactocrates",193092,"Genre","Harpactocrates Simon, 1914","Dysderidae","Araneae","Arachnida","Arthropoda"
"105","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"femelle","0,104","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"106","barber",1,"ANI","21","0618","BOU","1440",0,1,"adulte",NA,"mâle","0,029","taxref","Pterostichus burmeisteri",222582,"Espèce","Pterostichus burmeisteri Heer, 1838","Carabidae","Coleoptera","Insecta","Arthropoda"
"107","barber",1,"ANI","21","0629","BOU","1620",0,2,"adulte",NA,"male",NA,"taxref","Coelotes terrestris",1846,"Espèce","Coelotes terrestris (Wider, 1834)","Agelenidae","Araneae","Arachnida","Arthropoda"
"108","barber",1,"ANI","21","0629","BOU","1620",0,55,"adulte",NA,NA,NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"109","barber",1,"ANI","21","0629","BOU","1620",0,2,"larve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","barber",1,"ANI","21","0640","BOU","1830",0,1,NA,NA,NA,NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"111","barber",1,"ANI","21","0640","BOU","1830",0,1,"adulte",NA,"femelle","0,084","taxref","Cychrus attenuatus",8347,"Espèce","Cychrus attenuatus (Fabricius, 1792)","Carabidae","Coleoptera","Insecta","Arthropoda"
"112","barber",1,"ANI","21","0640","BOU","1830",0,1,"adulte",NA,NA,NA,"taxref","Hymenoptera",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"113","barber",1,"ANI","21","0640","BOU","1830",0,8,"adulte",NA,NA,NA,"taxref","Polyphaga",184631,"Sous-Ordre","Polyphaga ",NA,"Coleoptera","Insecta","Arthropoda"
"114","barber",1,"ANI","21","0640","BOU","1830",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"115","barber",1,"ANI","21","0651","BOU","2000",0,1,NA,NA,NA,"0,0037","taxref","Chilopoda",185587,"Classe","Chilopoda Latreille, 1817",NA,NA,"Chilopoda","Arthropoda"
"116","barber",1,"ANI","21","0651","BOU","2000",0,1,NA,NA,NA,NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"117","barber",1,"ANI","21","0651","BOU","2000",0,45,"adulte",NA,"Femelle",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"118","barber",1,"ANI","21","0651","BOU","2000",0,1,NA,NA,"hermaphrodite",NA,"taxref","Gastropoda",186338,"Classe","Gastropoda Cuvier, 1795",NA,NA,"Gastropoda","Mollusca"
"119","barber",1,"ANI","21","0651","BOU","2000",0,3,NA,NA,NA,NA,"taxref","Heteroptera",185020,"Sous-Ordre","Heteroptera Latreille, 1810",NA,"Hemiptera","Insecta","Arthropoda"
"120","barber",1,"ANI","21","0651","BOU","2000",0,1,"larve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","barber",1,"ANI","21","0651","BOU","2000",0,2,"larve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","barber",1,"ANI","21","0651","BOU","2000",0,1,NA,NA,NA,NA,"taxref","Orthoptera",185375,"Ordre","Orthoptera Latreille, 1810",NA,"Orthoptera","Insecta","Arthropoda"
"123","barber",1,"ANI","21","0651","BOU","2000",0,1,"adulte",NA,"mâle","0,062","taxref","Pterostichus externepunctatus",9114,"Espèce","Pterostichus externepunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"124","barber",1,"ANI","21","0651","BOU","2000",0,2,"adulte",NA,"male",NA,"taxref","Robertus lividus",1335,"Espèce","Robertus lividus (Blackwall, 1836)","Theridiidae","Araneae","Arachnida","Arthropoda"
"125","barber",1,"ANI","21","0651","BOU","2000",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
