"","method","Replicate number","id_sample","gradient","alti","INat","abundance","stade","state","sexe","mass","name","referential","id","rankName","fullName","familyName","orderName","className","phylumName"
"64","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Staphylinidae",NA,NA,NA,NA,NA,NA,NA,NA
"65","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Omalium","gbif",3262280,"Genre","Omalium Gravenhorst, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"66","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Liogluta","gbif",1042548,"Genre","Liogluta C.G.Thomson, 1858","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"67","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Aleocharinae","taxref",523719,"Sous-Famille","Aleocharinae Fleming, 1821","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"68","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Tachinus","gbif",9174844,"Genre","Tachinus Gravenhorst, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"69","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Pella humeralis","taxref",794506,"Espèce","Pella humeralis (Gravenhorst, 1806)","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"70","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Autalia","gbif",4989647,"Genre","Autalia Leach, 1819","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"71","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,"male",0.014,"Trichotichnus laevicollis","taxref",8253,"Espèce","Trichotichnus laevicollis (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"72","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,0.001,"Trechus","gbif",1037288,"Genre","Trechus Clairville, 1806","Carabidae","Coleoptera","Insecta","Arthropoda"
"73","barber",1,"ANI-21-0970","VCHA","2330",1,1,"ad",NA,NA,NA,"Trachyphloeini","taxref",812818,"Tribu","Trachyphloeini Gistel, 1848","Curculionidae","Coleoptera","Insecta","Arthropoda"
"74","barber",1,"ANI-21-0970","VCHA","2330",1,3,NA,NA,NA,NA,"Anechura bipunctata","taxref",65863,"Espèce","Anechura bipunctata (Fabricius, 1781)","Forficulidae","Dermaptera","Insecta","Arthropoda"
"75","barber",1,"ANI-21-0970","VCHA","2330",1,1,NA,NA,NA,NA,"Gomphocerus sibiricus","gbif",1699913,"Espèce","Gomphocerus sibiricus (Linnaeus, 1767)","Acrididae","Orthoptera","Insecta","Arthropoda"
"76","barber",1,"ANI-21-0970","VCHA","2330",1,2,NA,NA,NA,NA,"Anonconotus","gbif",1683703,"Genre","Anonconotus Camerano, 1878","Tettigoniidae","Orthoptera","Insecta","Arthropoda"
"77","barber",1,"ANI-21-0970","VCHA","2330",1,2,NA,NA,NA,NA,"Stauroderus scalaris","gbif",1703827,"Espèce","Stauroderus scalaris (Fischer von Waldheim, 1846)","Acrididae","Orthoptera","Insecta","Arthropoda"
"78","barber",1,"ANI-21-0970","VCHA","2330",1,1,"ad",NA,NA,NA,"Tachinus","gbif",9174844,"Genre","Tachinus Gravenhorst, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"79","barber",1,"ANI-21-0970","VCHA","2330",1,2,"ad",NA,NA,NA,"Tachinus","gbif",9174844,"Genre","Tachinus Gravenhorst, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"80","barber",1,"ANI-21-0981","VCHA","2510",1,1,"ad",NA,NA,NA,"Hymenoptera","taxref",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"81","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,"unidentified",NA,"Pterostichinae","taxref",793077,"Sous-Famille","Pterostichinae Bonelli, 1810","Carabidae","Coleoptera","Insecta","Arthropoda"
"82","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Carabus problematicus","gbif",4470555,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"83","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Pterostichinae","taxref",793077,"Sous-Famille","Pterostichinae Bonelli, 1810","Carabidae","Coleoptera","Insecta","Arthropoda"
"84","barber",1,"ANI-22-0001","ARM","1520",1,6,NA,NA,NA,NA,"Muscoidea","taxref",825233,"Super-Famille","Muscoidea Coquillett, 1901",NA,"Diptera","Insecta","Arthropoda"
"85","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Sciaridae","taxref",184919,"Famille","Sciaridae Billberg, 1820","Sciaridae","Diptera","Insecta","Arthropoda"
"86","barber",1,"ANI-22-0001","ARM","1520",1,4,NA,NA,"female",NA,"Formica","gbif",1314840,"Genre","Formica Linnaeus, 1758","Formicidae","Hymenoptera","Insecta","Arthropoda"
"87","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Formica rufa","gbif",1315132,"Espèce","Formica rufa Linnaeus, 1761","Formicidae","Hymenoptera","Insecta","Arthropoda"
"88","barber",1,"ANI-22-0001","ARM","1520",1,16,NA,NA,NA,NA,"Formica rufa","gbif",1315132,"Espèce","Formica rufa Linnaeus, 1761","Formicidae","Hymenoptera","Insecta","Arthropoda"
"89","barber",1,"ANI-22-0001","ARM","1520",1,4,NA,NA,NA,NA,"Myrmica","gbif",1318775,"Genre","Myrmica Latreille, 1804","Formicidae","Hymenoptera","Insecta","Arthropoda"
"90","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Formica rufa","gbif",1315132,"Espèce","Formica rufa Linnaeus, 1761","Formicidae","Hymenoptera","Insecta","Arthropoda"
"91","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Heteroptera",NA,NA,NA,NA,NA,NA,NA,NA
"92","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Lygaeoidea","taxref",185079,"Super-Famille","Lygaeoidea Schilling, 1829",NA,"Hemiptera","Insecta","Arthropoda"
"93","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Megalonotus emarginatus","taxref",238132,"Espèce","Megalonotus emarginatus (Rey, 1888)","Rhyparochromidae","Hemiptera","Insecta","Arthropoda"
"94","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,"unidentified",NA,"Carabus nemoralis","gbif",8056040,"Espèce","Carabus nemoralis O.F.Müller, 1764","Carabidae","Coleoptera","Insecta","Arthropoda"
"95","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Arcyptera fusca","gbif",5098489,"Espèce","Arcyptera fusca (Pallas, 1773)","Acrididae","Orthoptera","Insecta","Arthropoda"
"96","barber",1,"ANI-22-0001","ARM","1520",1,1,NA,NA,NA,NA,"Gomphocerippus rufus","taxref",66114,"Espèce","Gomphocerippus rufus (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"97","barber",1,"ANI-22-0001","ARM","1520",1,2,NA,NA,NA,NA,"Nemobius sylvestris","gbif",1722903,"Espèce","Nemobius sylvestris (Bosc, 1792)","Trigonidiidae","Orthoptera","Insecta","Arthropoda"
"98","barber",1,"ANI-22-0012","ARM","1750",1,1,"ad",NA,"unidentified",NA,"Carabus coriaceus","gbif",4470451,"Espèce","Carabus coriaceus Linnaeus, 1758","Carabidae","Coleoptera","Insecta","Arthropoda"
"99","barber",1,"ANI-22-0012","ARM","1750",1,1,"larv",NA,"unidentified",NA,"Carabidae","taxref",184615,"Famille","Carabidae Latreille, 1802","Carabidae","Coleoptera","Insecta","Arthropoda"
"100","barber",1,"ANI-22-0012","ARM","1750",1,1,NA,NA,NA,NA,"Arion","gbif",2294092,"Genre","Arion A.Férussac, 1819","Arionidae","Stylommatophora","Gastropoda","Mollusca"
"101","barber",1,"ANI-22-0012","ARM","1750",1,1,"ad",NA,NA,NA,"Pseudochorthippus parallelus","gbif",7792296,"Espèce","Pseudochorthippus parallelus (Zetterstedt, 1821)","Acrididae","Orthoptera","Insecta","Arthropoda"
"102","barber",1,"ANI-22-0012","ARM","1750",1,1,"ad",NA,NA,NA,"Arcyptera fusca","gbif",5098489,"Espèce","Arcyptera fusca (Pallas, 1773)","Acrididae","Orthoptera","Insecta","Arthropoda"
"103","barber",1,"ANI-22-0012","ARM","1750",1,1,"larv",NA,NA,NA,"Podisma pedestris","gbif",1704142,"Espèce","Podisma pedestris (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"104","barber",1,"ANI-22-0012","ARM","1750",1,1,NA,NA,NA,NA,"Polyphaga","gbif",8517289,"Genre","Polyphaga Brullé, 1835","Corydiidae","Blattodea","Insecta","Arthropoda"
"105","barber",1,"ANI-22-0012","ARM","1750",1,1,NA,NA,NA,NA,"Alticini","taxref",730142,"Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"106","barber",1,"ANI-22-0045","MSB","1370",1,1,NA,NA,NA,NA,"Apocrita","taxref",185127,"Sous-Ordre","Apocrita Gerstäcker, 1867",NA,"Hymenoptera","Insecta","Arthropoda"
"107","barber",1,"ANI-22-0045","MSB","1370",1,5,NA,NA,NA,NA,"Anoplotrupes stercorosus","taxref",10539,"Espèce","Anoplotrupes stercorosus (Hartmann in Scriba, 1791)","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"108","barber",1,"ANI-22-0045","MSB","1370",1,1,NA,NA,NA,NA,"Anoplotrupes stercorosus","taxref",10539,"Espèce","Anoplotrupes stercorosus (Hartmann in Scriba, 1791)","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"109","barber",1,"ANI-22-0045","MSB","1370",1,1,NA,NA,NA,NA,"Anoplotrupes stercorosus","taxref",10539,"Espèce","Anoplotrupes stercorosus (Hartmann in Scriba, 1791)","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"110","barber",1,"ANI-22-0056","MSB","1420",1,1,"adulte",NA,"unidentified",NA,"Nebria","gbif",1035566,"Genre","Nebria Latreille, 1802","Carabidae","Coleoptera","Insecta","Arthropoda"
"111","barber",1,"ANI-22-0056","MSB","1420",1,2,NA,NA,NA,NA,"Cicadellidae","taxref",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"112","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Cicadellidae","taxref",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"113","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Insecta","gbif",216,"Classe","Insecta",NA,NA,"Insecta","Arthropoda"
"114","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Myrmica","gbif",1318775,"Genre","Myrmica Latreille, 1804","Formicidae","Hymenoptera","Insecta","Arthropoda"
"115","barber",1,"ANI-22-0056","MSB","1420",1,87,NA,NA,NA,NA,"Formica","gbif",1314840,"Genre","Formica Linnaeus, 1758","Formicidae","Hymenoptera","Insecta","Arthropoda"
"116","barber",1,"ANI-22-0056","MSB","1420",1,16,NA,NA,NA,NA,"Anoplotrupes stercorosus","taxref",10539,"Espèce","Anoplotrupes stercorosus (Hartmann in Scriba, 1791)","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"117","barber",1,"ANI-22-0056","MSB","1420",1,1,"adulte",NA,NA,NA,"Stygnocoris sabulosus","taxref",238182,"Espèce","Stygnocoris sabulosus (Schilling, 1829)","Rhyparochromidae","Hemiptera","Insecta","Arthropoda"
"118","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Apocrita","taxref",185127,"Sous-Ordre","Apocrita Gerstäcker, 1867",NA,"Hymenoptera","Insecta","Arthropoda"
"119","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Apocrita","taxref",185127,"Sous-Ordre","Apocrita Gerstäcker, 1867",NA,"Hymenoptera","Insecta","Arthropoda"
"120","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Proctotrupidae","taxref",185180,"Famille","Proctotrupidae Latreille, 1802","Proctotrupidae","Hymenoptera","Insecta","Arthropoda"
"121","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Platygastrinae","taxref",827411,"Sous-Famille","Platygastrinae Haliday, 1833","Platygastridae","Hymenoptera","Insecta","Arthropoda"
"122","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Apocrita","taxref",185127,"Sous-Ordre","Apocrita Gerstäcker, 1867",NA,"Hymenoptera","Insecta","Arthropoda"
"123","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Hymenoptera","taxref",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"124","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Eulophidae","taxref",185143,"Famille","Eulophidae Westwood, 1829","Eulophidae","Hymenoptera","Insecta","Arthropoda"
"125","barber",1,"ANI-22-0056","MSB","1420",1,1,"larv",NA,NA,NA,"Insecta","gbif",216,"Classe","Insecta",NA,NA,"Insecta","Arthropoda"
"126","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Platydracus","gbif",4407267,"Genre","Platydracus C.G.Thomson, 1858","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"127","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Staphylinidae","taxref",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"128","barber",1,"ANI-22-0056","MSB","1420",1,1,NA,NA,NA,NA,"Aleocharinae","taxref",523719,"Sous-Famille","Aleocharinae Fleming, 1821","Staphylinidae","Coleoptera","Insecta","Arthropoda"
