Name in Drilobase 2019;Sub-species in Bouch‚ 1972;Variety in Bouch‚ 1972;Male_pore;Female_pore;Clitellum_start;Clitellum_end;Puberculum_start;Puberculum_end;Heart_type;Heart_start;Heart_end;Morren_gland_start;Morren_gland_end;Morren_gland_diverticules;Crop_start;Crop_end;Ovisac;Oesophagian_gizzard_start;Oesophagian_gizzard_end;Typhlosole_start;Typhlosole_type;Min_length;Max_length;Min_diameter;Max_diameter;Min_weight;Max_weight;Shape;Flattening;Epithelium flexibility;Pigmentation;Body wall;Muscle structure of body wall;Nephridia
Bimastos eiseni (Levinsen, 1884);;;15;14;24;32;absent;absent;moniliforme;7;11;11;14;absent;14;16;present;17;18;21;massif;45;60;2;3;180;270;cylindrique;aucun;souple;rouge violac‚;‚paisse;longitudinale penn‚;ent‚riformes
Cataladrilus (Cataladrilus) catalaunensis (Bouche, 1972);catalaunensis;;15;14;24;36;34;37;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;20;bifide;80;110;3;4;5100;7400;cylindrique;clitellien et caudal;souple;;‚paisse;longitudinale pavimenteux;ent‚riformes
Dendrobaena alpina zeugochaeta (Bouche, 1972);zeugochaeta;;15;14;28;33;30;32;moniliforme;6;11;11;14;absent;15;16;well developed;17;18;28;nd;55;75;1,2;2,5;160;220;cylindrique;aucun;rigide;iris‚ rouge violac‚;moyenne;longitudinale penn‚;ent‚riformes
Dendrobaena attemsi (Michaelsen, 1902);;;15;14;29;34;30;32;moniliforme;7;11;10;14;absent;15;16;present;17;18;20;massif;40;70;0,8;1,4;50;55;cylindrique;clitellien et caudal;souple;rose;moyenne;longitudinale penn‚;ent‚riformes
Dendrobaena byblica (Rosa, 1893) (a);byblica;;15;14;25;30;26;29;moniliforme;6;11;11;14;absent;15;16;present;17;18;25;nd;20;55;2;2,5;135;275;cylindrique;aucun;rigide;rouge vineux;moyenne;longitudinale penn‚;ent‚riformes et multilob‚es
Dendrobaena byblica byblica (Rosa, 1893);;;15;14;25;30;27;28;moniliforme;6;11;11;14;absent;15;16;present;17;18;26;reduit;35;45;2;2,5;170;190;cylindrique/quadrangulaire;aucun;souple;gris-verdƒtre;‚paisse;longitudinale penn‚;ent‚riformes
Dendrobaena octaedra (Savigny, 1826);;;15;14;29;34;31;33;moniliforme;7;11;10;14;absent;15;16;present;17;18;20;massif et … villosit‚;30;60;1;2,5;80;100;cylindrique;clitellien;rigide;iris‚ rouge violac‚;moyenne;longitudinale penn‚;ent‚riformes
Dendrobaena pantaleonis balagnensis (Bouche, 1972);balagnensis;;15;14;24;29;25;27;moniliforme;7;11;10;14;absent;15;16;well developed;17;18;26;massif;25;45;2;2,5;200;200;cylindrique;aucun;souple;rouge-rosƒtre;moyenne;longitudinale penn‚;ent‚riformes
Dendrobaena pygmaea (Friend, 1923);cognetti;;15;14;33;37;absent;absent;moniliforme;7;11;10;13;absent;15;16;present;17;18;23;massif;20;35;0,8;1,2;30;50;cylindrique;aucun;souple;rouge violac‚;moyenne;longitudinale penn‚;ent‚riformes
Dendrodrilus rubidus rubidus (Savigny, 1826);rubida;;15;14;27;31;29;30;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;17;22;massif;35;60;3;4;130;200;cylindrique;aucun;rigide;rouge;mince;longitudinale penn‚;ent‚riformes
Dendrodrilus rubidus rubidus (Savigny, 1826);tenuis;;15;14;27;31;29;30;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;17;22;massif;35;60;3;4;130;200;cylindrique;aucun;rigide;rouge;‚paisse;longitudinale penn‚;
Dendrodrilus rubidus subrubicundus (Eisen, 1874);;;15;14;26;31;28;30;moniliforme;6;11;10;14;lobated in 10;15;16;present;17;17;22;massif;50;90;;;200;300;cylindrique;aucun;rigide;rouge ros‚;‚paisse;longitudinale penn‚;
Dendrodrilus rubidus subrubicundus (Eisen, 1874);rivulicola;;15;14;26;31;28;30;moniliforme;6;11;10;14;atrophiated;15;16;present;17;17;22;massif;50;90;;;200;300;cylindrique;aucun;rigide;rouge ros‚;‚paisse;longitudinale penn‚;
Eisenia fetida andrei Bouche, 1972;fetida;;15;14;26;32;28;30;moniliforme;7;11;10;13;absent;15;16;weakly developed;17;18;21;massif;50;120;2;4;200;600;cylindrique;clitellien et caudal;souple;rouge violac‚;‚paisse;longitudinale penn‚;ent‚riforme
Eisenia fetida fetida: Bouche, 1972;andrei;;15;14;26;32;28;30;moniliforme;7;11;10;13;absent;15;16;weakly developed;17;18;21;massif;50;90;;;;;cylindrique;clitellien et caudal;souple;rouge vineux;‚paisse;longitudinale penn‚;ent‚riformes
Eiseniella tetraedra (Savigny, 1826);;;13;14;23;26;23;25;moniliforme;7;11;10;14;bilobated in 10;absent;absent;present;17;17;21;massif;30;60;1,5;3,5;85;150;quadrangulaire;aucun;rigide;brun-vert;moyenne;longitudinale penn‚;ent‚riformes
Ethnodrilus aveli Bouche, 1972;;;15;14;22;31;30;31;v‚sicule simple;9;11;12;13;absent;15;16;present;17;18;20;bifide (2 lamelles);60;80;2;3;260;290;cylindrique;clitellien;souple;aucune;moyenne;longitudinale penn‚;ent‚riformes
Ethnodrilus gatesi Bouche, 1972;;;15;14;21;30;28;29;moniliforme;8;11;11;14;absent;15;16;present;17;18;21;r‚duit, en lamelles;70;70;2;2,2;350;350;ovale;ventral;souple;aucune;;;ent‚riformes
Ethnodrilus lydiae Bouche, 1972;;;15;14;21;31;28;30;moniliforme;6;11;10;15;absent;15;16;present;17;18;20;bifide (2 lamelles);70;110;3;3,5;320;610;cylindrique;aucun;souple;aucune;‚paisse;longitudinale pavimenteux;ent‚riformes
Ethnodrilus zajonci Bouche, 1972;;;15;14;21;30;23;27;moniliforme;7;11;11;13;absent;15;16;present;17;18;d‚butant graduellement;bifide (2 lamelles);50;70;3;4;400;500;cylindrique;aucun;souple;aucune;moyenne;longitudinale radiaire;
Eumenescolex pereli (Bouche, 1972);;;15;14;23;30;26;29;moniliforme;6;11;9;14;bilobated in 10;15;16;weakly developed;17;18;23;penn‚;40;80;2,5;5;440;720;cylindrique;aucun;souple;bleuƒtre;moyenne;longitudinale penn‚;ent‚riformes
Helodrilus oculatus (Hoffmeister, 1845);oculata;;15;14;22;32;29;30;moniliforme;7;11;11;12;absent;15;15;present;16;18;absent;rudimentaire;35;70;1,3;2;130;180;cylindrique;clitellien;souple;tƒches noirƒtres;‚paisse;longitudinale pavimenteux;ent‚riformes
Helodrilus segalensis (Bouche, 1972);;;15;14;24;33;27;31;moniliforme;5;11;10;13;bilobated in 10;14;16;weakly developed;16;18;24;penn‚;90;130;4;5;1200;1900;cylindrique;auncun;souple;brunƒtre / taches noirs;‚paisse;longitudinale interm‚diaire;ent‚riformes
Helodrilus tebrus (Bouche, 1972);putricola;;15;14;23;30;24;28;simples puis moniliforme;6;11;10;13;absent;14;15;well developed;16;18;24;massif;100;140;2,5;3;800;1300;cylindrique;caudal;souple;rose-rougeƒtre;‚paisse;longitudinale interm‚diaire;ent‚riformes
Helodrilus tebrus (Bouche, 1972);tebra;;15;14;23;30;24;28;simples puis moniliforme;6;11;10;14;absent;14;15;well developed;17;18;24;massif;80;120;1,5;2;;;cylindrique;caudal;souple;rose-rougeƒtre;‚paisse;longitudinale interm‚diaire;ent‚riformes
Kritodrilus calarensis (Tetry, 1944);;;15;14;28;35;32;35;moniliforme;6;11;11;14;absent;15;17;weakly developed;18;19;18;9 lamelles;50;70;4;6;360;490;cylindrique;aucun;souple;blanc-rosƒtre;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Lumbricus castaneus (Savigny, 1826);disjonctus;;15;14;28;33;29;32;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;15;16;present;16;17;20;penn‚;35;60;2;2,5;140;350;cylindrique;caudal;souple;rouge vineux;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus castaneus disjonctus;;;15;14;28;33;29;32;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;15;16;present;16;17;20;penn‚;35;60;2;2,5;140;350;cylindrique;caudal;souple;rouge vineux;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus centralis Bouche, 1972;;;15;14;33;38;34;37;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;14;16;present;17;18;22;penn‚;130;250;7;9;5000;15000;cylindrique;clitellien et caudal en fer de lance;rigide;rouge pourpre;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus festivus (Savigny, 1826);;;15;14;34;39;35;38;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;14;16;present;17;18;22;penn‚;65;95;4;5;750;1200;cylindrique;clitellien et caudal en fer de lance;rigide;rouge pourpre;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus friendi (Cognetti de Martiis, 1904);;;15;14;33;37;34;36;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;14;16;present;17;18;22;penn‚;130;250;7;9;5000;15000;cylindrique;clitellien et caudal en fer de lance;rigide;rouge pourpre;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus friendi (Cognetti de Martiis, 1904);lineatus;;15;14;33;37;34;36;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;14;16;present;17;18;22;penn‚;;90;;6;;;cylindrique;clitellien et caudal en fer de lance;rigide;rouge pourpre;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus improvisus Zicsi, 1963;;;15;14;26;31;27;31;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;15;16;present;16;17;20;penn‚;50;70;;;600;700;;;;;mince;longitudinale penn‚;ent‚riformes
Lumbricus meliboeus (Rosa, 1884);;;15;14;29;33;30;32;vesiculeux;7;11;11;13;bilobated in 11 & 12;15;16;present;17;18;19;penn‚;55;90;3;5;600;900;cylindrique;clitellien et caudal;rigide;iris‚ rouge pourpre;moyenne;longitudinale penn‚;ent‚riforme
Lumbricus rubellus (Hoffmeister, 1843);rubellus;;15;14;27;32;28;31;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;15;16;present;16;17;20;penn‚;60;130;;;450;2500;cylindrique;caudal;souple;rouge vineux;‚paisse/moyenne;longitudinale penn‚;ent‚riformes
Lumbricus rubellus castaneoides Bouche, 1972;castanoides;;15;14;27;32;28;31;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;15;16;present;16;17;20;penn‚;30;60;;;180;380;cylindrique;caudal;souple;rouge vineux;moyenne;longitudinale penn‚;ent‚riformes
Lumbricus rubellus friendoides Bouche 1972;friendoides;;15;14;26;33;28;31;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;15;16;present;16;17;20;penn‚;140;180;;;3500;5000;cylindrique;caudal;souple;rouge vineux;‚paisse/moyenne;longitudinale penn‚;ent‚riformes
Lumbricus terrestris (Savigny, 1826);;;15;14;33;37;32;36;moniliforme;7;11;10;14;bilobated in 10, 11 & 12;14;16;present;17;18;22;penn‚;130;250;7;9;5000;15000;cylindrique;clitellien et caudal en fer de lance;rigide;rouge pourpre;‚paisse;longitudinale penn‚;ent‚riformes
Murchieona muldali (Omodeo, 1956);;;15;14;27;33;absent;absent;moniliforme;6;11;11;13;absent;14;16;present;17;18;20;massif;30;40;1;1;60;80;cylindrique;aucun;souple;blanc-rosƒtre;moyenne;longitudinale penn‚;ent‚riformes
Octodrilus complanatus (Duges, 1828);;;15;14;29;37;28;39;moniliforme;7;11;10;14;bilobated in 10;15;16;weakly developed;17;18;27;penn‚;150;220;9;11;3500;5200;cylindrique;clitellien et caudal;souple;iris‚ brun-noir;‚paisse;longitudinale penn‚;ent‚riformes
Octolasion cyaneum (Savigny, 1826) (b);;;15;14;29;34;29;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;20;penn‚, cylindrique;80;140;6;8;1500;2500;cylindrique;clitellien et caudal;rigide;liser‚ brunƒtre;‚paisse;longitudinale penn‚;ent‚riformes
Octolasium lacteum (Orley, 1885);lacteum;;15;14;30;35;30;35;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;19;23;penn‚;40;160;2,5;5;320;1200;cylindrique;clitellien faible;rigide;bleuƒtre-rosƒtre;‚paisse;longitudinale penn‚;ent‚riformes
Octolasium cyaneum (Savigny, 1826);gracile;;15;14;30;35;30;35;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;19;23;penn‚;40;160;2,5;5;320;1200;cylindrique;clitellien faible;rigide;bleuƒtre-rosƒtre;moyenne;longitudinale penn‚;ent‚riformes
