id_sample;method;Replicate number;id_plot;INat;Valid Name;abundance;stade;state;sexe;mass
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.035
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.067
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.068
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.069
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.09
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.104
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.114
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.018
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.044
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.049
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.057
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.061
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.073
ANI-21-0596;barber;1;ARG_2400;;Staphylinidae;1;ad;;;
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;female;0.08
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;female;0.14
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;female;0.148
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;female;0.166
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;male;0.121
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;male;0.126
ANI-21-0607;barber;1;BOU_1240;;Abax (Abax) ovalis (Duftschmid, 1812);1;ad;;male;0.137
ANI-21-0607;barber;1;BOU_1240;;Carabus (Chaetocarabus) intricatus Linnaeus, 1761;1;ad;;female;0.421
ANI-21-0607;barber;1;BOU_1240;;Carabus (Chaetocarabus) intricatus Linnaeus, 1761;1;ad;;male;0.26
ANI-21-0607;barber;1;BOU_1240;;Carabus (Chaetocarabus) intricatus Linnaeus, 1761;1;ad;;male;0.318
ANI-21-0607;barber;1;BOU_1240;;Carabus (Chaetocarabus) intricatus Linnaeus, 1761;1;ad;;male;0.387
ANI-21-0607;barber;1;BOU_1240;;Coelotes terrestris (Wider, 1834);1;ad;;male;
ANI-21-0607;barber;1;BOU_1240;;Formicidae;7;ad;;female;
ANI-21-0607;barber;1;BOU_1240;;Gastropoda;1;;;hermaphrodite;
ANI-21-0607;barber;1;BOU_1240;;Geotrupidae;1;ad;;;
ANI-21-0607;barber;1;BOU_1240;;Linyphiidae Blackwall, 1859;1;juv;;unidentified;
ANI-21-0607;barber;1;BOU_1240;;Notiophilus substriatus C.R. Waterhouse, 1833;1;ad;;unidentified;0.004
ANI-21-0607;barber;1;BOU_1240;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;female;0.106
ANI-21-0607;barber;1;BOU_1240;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;female;0.114
ANI-21-0607;barber;1;BOU_1240;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;female;0.134
ANI-21-0607;barber;1;BOU_1240;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;male;0.054
ANI-21-0607;barber;1;BOU_1240;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;male;0.09
ANI-21-0607;barber;1;BOU_1240;;Staphylinidae;1;ad;;;
ANI-21-0607;barber;1;BOU_1240;;Tenuiphantes zimmermanni (Bertkau, 1890);1;ad;;male;
ANI-21-0618;barber;1;BOU_1440;;Amaurobius fenestralis (Stroem, 1768);1;ad;;male;
ANI-21-0618;barber;1;BOU_1440;;Calathus (Neocalathus) micropterus (Duftschmid, 1812);1;ad;;male;0.004
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.334
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.423
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.428
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.429
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.44
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.45
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.483
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.539
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.569
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.593
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.312
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.336
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.36
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.367
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.378
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.396
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.412
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.433
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.448
ANI-21-0618;barber;1;BOU_1440;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.468
ANI-21-0618;barber;1;BOU_1440;;Coelotes terrestris (Wider, 1834);2;ad;;male;
ANI-21-0618;barber;1;BOU_1440;;Gastropoda;4;;;hermaphrodite;
ANI-21-0618;barber;1;BOU_1440;;Geotrupidae;2;ad;;;
ANI-21-0618;barber;1;BOU_1440;;Harpactocrates;1;juv;;unidentified;
ANI-21-0618;barber;1;BOU_1440;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;female;0.104
ANI-21-0618;barber;1;BOU_1440;;Pterostichus (Cheporus) burmeisteri Heer, 1838;1;ad;;male;0.029
ANI-21-0629;barber;1;BOU_1620;;Coelotes terrestris (Wider, 1834);2;ad;;male;
ANI-21-0629;barber;1;BOU_1620;;Geotrupidae;55;ad;;;
ANI-21-0629;barber;1;BOU_1620;;Larves campodÇiformes;2;larv;;;
ANI-21-0640;barber;1;BOU_1830;;Cicadellidae;1;;;;
ANI-21-0640;barber;1;BOU_1830;;Cychrus attenuatus (Fabricius, 1792);1;ad;;female;0.084
ANI-21-0640;barber;1;BOU_1830;;Hymenoptera;1;ad;;;
ANI-21-0640;barber;1;BOU_1830;;Polyphaga;8;ad;;;
ANI-21-0640;barber;1;BOU_1830;;Staphylinidae;1;ad;;;
ANI-21-0651;barber;1;BOU_2000;;Chilopoda;1;;;;0.0037
ANI-21-0651;barber;1;BOU_2000;;Cicadellidae;1;;;;
ANI-21-0651;barber;1;BOU_2000;;Formicidae;45;ad;;female;
ANI-21-0651;barber;1;BOU_2000;;Gastropoda;1;;;hermaphrodite;
ANI-21-0651;barber;1;BOU_2000;;Heteroptera;3;;;;
ANI-21-0651;barber;1;BOU_2000;;Larve Çruciforme;1;larv;;;
ANI-21-0651;barber;1;BOU_2000;;Larves campodÇiformes;2;larv;;;
ANI-21-0651;barber;1;BOU_2000;;Orthoptera;1;;;;
ANI-21-0651;barber;1;BOU_2000;;Pterostichus (Oreophilus) externepunctatus (Dejean, 1828);1;ad;;male;0.062
ANI-21-0651;barber;1;BOU_2000;;Robertus lividus (Blackwall, 1836);2;ad;;male;
ANI-21-0651;barber;1;BOU_2000;;Staphylinidae;1;ad;;;
ANI-21-0662;barber;1;CAU_1220;;Centromerus sellarius (Simon, 1884);3;ad;;male;
ANI-21-0662;barber;1;CAU_1220;;Chilopoda;1;;;;0.0121
ANI-21-0662;barber;1;CAU_1220;;Chilopoda;1;;;;0.0347
ANI-21-0662;barber;1;CAU_1220;;Collembola;8;;;;
ANI-21-0662;barber;1;CAU_1220;;Formicidae;14;ad;;female;
ANI-21-0662;barber;1;CAU_1220;;Monocephalus castaneipes (Simon, 1884);1;ad;;male;
ANI-21-0662;barber;1;CAU_1220;;Staphylinidae;1;ad;;;
ANI-21-0662;barber;1;CAU_1220;;Tenuiphantes zimmermanni (Bertkau, 1890);2;ad;;male;
ANI-21-0662;barber;1;CAU_1220;;Tenuiphantes zimmermanni (Bertkau, 1890);3;ad;;female;
ANI-21-0673;barber;1;CAU_1400;;Centromerus sellarius (Simon, 1884);1;ad;;male;
ANI-21-0673;barber;1;CAU_1400;;Gastropoda;1;;;hermaphrodite;
ANI-21-0673;barber;1;CAU_1400;;Linyphiidae Blackwall, 1859;1;juv;;unidentified;
ANI-21-0673;barber;1;CAU_1400;;Notiophilus biguttatus (Fabricius, 1779);1;ad;;female;0.005
ANI-21-0684;barber;1;CAU_1630;;Formicidae;14;ad;;female;
ANI-21-0684;barber;1;CAU_1630;;Staphylinidae;3;ad;;;
ANI-21-0684;barber;1;CAU_1630;;Tenuiphantes mengei (Kulczynski, 1887);1;ad;;male;
ANI-21-0684;barber;1;CAU_1630;;Tenuiphantes zimmermanni (Bertkau, 1890);2;ad;;female;
ANI-21-0695;barber;1;CAU_1800;;vide;0;;;;
ANI-21-0706;barber;1;CAU_2020;;Formicidae;43;ad;;female;
ANI-21-0706;barber;1;CAU_2020;;Insecta;4;ad;;;
ANI-21-0706;barber;1;CAU_2020;;Zelotes aeneus (Simon, 1878);1;ad;;female;
ANI-21-0717;barber;1;CAU_2225;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;female;0.018
ANI-21-0717;barber;1;CAU_2225;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;male;0.008
ANI-21-0717;barber;1;CAU_2225;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;male;0.015
ANI-21-0717;barber;1;CAU_2225;;Chilopoda;1;;;;0.1246
ANI-21-0717;barber;1;CAU_2225;;Dermaptera;1;;;;
ANI-21-0717;barber;1;CAU_2225;;Formicidae;5;ad;;female;
ANI-21-0717;barber;1;CAU_2225;;Orthoptera;1;;;;
ANI-21-0717;barber;1;CAU_2225;;Staphylinidae;1;ad;;;
ANI-21-0717;barber;1;CAU_2225;;Zelotes aeneus (Simon, 1878);1;ad;;female;
ANI-21-0728;barber;1;CAU_2445;;Alticinae;1;ad;;unidentified;
ANI-21-0728;barber;1;CAU_2445;;Curculionidae;2;ad;;;
ANI-21-0728;barber;1;CAU_2445;;Formicidae;9;ad;;female;
ANI-21-0728;barber;1;CAU_2445;;Hymenoptera;1;ad;;;
ANI-21-0728;barber;1;CAU_2445;;Tenebrionidae;2;ad;;;
ANI-21-0739;barber;1;CAU_2650;;Curculionidae;1;ad;;;
ANI-21-0739;barber;1;CAU_2650;;Cymindis (Tarulus) vaporariorum (Linnaeus, 1758);1;ad;;female;0.01
ANI-21-0739;barber;1;CAU_2650;;Cymindis (Tarulus) vaporariorum (Linnaeus, 1758);1;ad;;male;0.007
ANI-21-0739;barber;1;CAU_2650;;Formicidae;7;ad;;female;
ANI-21-0739;barber;1;CAU_2650;;Pterostichus (Haptoderus) abaxoides (Dejean, 1828);1;ad;;male;0.033
ANI-21-0739;barber;1;CAU_2650;;Trechinae;1;ad;;;
ANI-21-0750;barber;1;MOU_1810;;Amara (Amara) aenea (De Geer, 1774);1;ad;;male;0.064
ANI-21-0750;barber;1;MOU_1810;;Amara (Celia) praetermissa (C.R. Sahlberg, 1827);1;ad;;male;0.024
ANI-21-0750;barber;1;MOU_1810;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.105
ANI-21-0750;barber;1;MOU_1810;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.127
ANI-21-0750;barber;1;MOU_1810;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.076
ANI-21-0750;barber;1;MOU_1810;;Cymindis (Cymindis) abeillei Jeannel, 1942;1;ad;;female;0.033
ANI-21-0750;barber;1;MOU_1810;;Formicidae;8;ad;;female;
ANI-21-0750;barber;1;MOU_1810;;Geotrupidae;25;ad;;;
ANI-21-0750;barber;1;MOU_1810;;Polyphaga;1;ad;;;
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.066
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.068
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.081
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.092
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.094
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.099
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.107
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.108
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.112
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.117
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.122
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.13
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.048
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.059
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.063
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.066
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.072
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.074
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.081
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.085
ANI-21-0761;barber;1;MOU_1940;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;male;0.088
ANI-21-0761;barber;1;MOU_1940;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.693
ANI-21-0761;barber;1;MOU_1940;;Chrysomeloidea;1;ad;;;
ANI-21-0761;barber;1;MOU_1940;;Cicadellidae;1;;;;
ANI-21-0761;barber;1;MOU_1940;;Cymindis (Cymindis) abeillei Jeannel, 1942;1;ad;;female;0.026
ANI-21-0761;barber;1;MOU_1940;;Cymindis (Cymindis) abeillei Jeannel, 1942;1;ad;;male;0.028
ANI-21-0761;barber;1;MOU_1940;;Cymindis (Cymindis) abeillei Jeannel, 1942;1;ad;;male;0.029
ANI-21-0761;barber;1;MOU_1940;;Cymindis (Cymindis) abeillei Jeannel, 1942;1;ad;;male;0.031
ANI-21-0761;barber;1;MOU_1940;;Eresus kollari Rossi, 1846;1;ad;;male;
ANI-21-0761;barber;1;MOU_1940;;Formicidae;13;ad;;female;
ANI-21-0761;barber;1;MOU_1940;;Larves campodÇiformes;1;larv;;;
ANI-21-0761;barber;1;MOU_1940;;Lycosidae;4;juv;;unidentified;
ANI-21-0761;barber;1;MOU_1940;;Nemesia congener O. P.-Cambridge, 1874;1;ad;;male;
ANI-21-0761;barber;1;MOU_1940;;Orthoptera;5;;;;
ANI-21-0761;barber;1;MOU_1940;;Pardosa monticola (Clerck, 1758);1;ad;;female;
ANI-21-0761;barber;1;MOU_1940;;Staphylinidae;2;ad;;;
ANI-21-0761;barber;1;MOU_1940;;Thomisidae;1;juv;;unidentified;
ANI-21-0772;barber;1;MOU_2160;;Alticinae;2;ad;;unidentified;
ANI-21-0772;barber;1;MOU_2160;;Calathus (Calathus) fuscipes (Goeze, 1777);1;ad;;female;0.084
ANI-21-0772;barber;1;MOU_2160;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.485
ANI-21-0772;barber;1;MOU_2160;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.829
ANI-21-0772;barber;1;MOU_2160;;Chilopoda;1;;;;0.1112
ANI-21-0772;barber;1;MOU_2160;;Cicadellidae;2;;;;
ANI-21-0772;barber;1;MOU_2160;;Curculionidae;1;ad;;;
ANI-21-0772;barber;1;MOU_2160;;Cymindis (Cymindis) coadunata Dejean, 1825;1;ad;;female;0.026
ANI-21-0772;barber;1;MOU_2160;;Formicidae;1;ad;;female;
ANI-21-0772;barber;1;MOU_2160;;Geotrupidae;3;ad;;;
ANI-21-0772;barber;1;MOU_2160;;Gnaphosidae;2;juv;;unidentified;
ANI-21-0772;barber;1;MOU_2160;;Hymenoptera;1;ad;;;
ANI-21-0772;barber;1;MOU_2160;;Larves campodÇiformes;1;larv;;;
ANI-21-0772;barber;1;MOU_2160;;Lycosidae;1;juv;;unidentified;
ANI-21-0772;barber;1;MOU_2160;;Orthoptera;2;;;;
ANI-21-0783;barber;1;MOU_2355;;Alopecosa trabalis (Clerck, 1758);1;ad;;female;
ANI-21-0783;barber;1;MOU_2355;;Alticinae;1;ad;;unidentified;
ANI-21-0783;barber;1;MOU_2355;;Asagena phalerata (Panzer, 1801);1;ad;;male;
ANI-21-0783;barber;1;MOU_2355;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;female;0.006
ANI-21-0783;barber;1;MOU_2355;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;female;0.013
ANI-21-0783;barber;1;MOU_2355;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;female;0.015
ANI-21-0783;barber;1;MOU_2355;;Calathus (Neocalathus) melanocephalus (Linnaeus, 1758);1;ad;;male;0.011
ANI-21-0783;barber;1;MOU_2355;;Chilopoda;1;;;;0.0029
ANI-21-0783;barber;1;MOU_2355;;Chilopoda;1;;;;0.0037
ANI-21-0783;barber;1;MOU_2355;;Cicadellidae;1;;;;
ANI-21-0783;barber;1;MOU_2355;;Dermaptera;1;ad;;;
ANI-21-0783;barber;1;MOU_2355;;Formicidae;15;ad;;female;
ANI-21-0783;barber;1;MOU_2355;;Larve Çruciforme;2;larv;;;
ANI-21-0783;barber;1;MOU_2355;;Lycosidae;1;juv;;unidentified;
ANI-21-0783;barber;1;MOU_2355;;Orthoptera;3;;;;
ANI-21-0783;barber;1;MOU_2355;;Pardosa mixta (Kulczynski, 1887);2;ad;;female;
ANI-21-0783;barber;1;MOU_2355;;Staphylinidae;13;ad;;;
ANI-21-0794;barber;1;MOU_2470;;Asagena phalerata (Panzer, 1801);2;ad;;male;
ANI-21-0794;barber;1;MOU_2470;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.726
ANI-21-0794;barber;1;MOU_2470;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;female;0.886
ANI-21-0794;barber;1;MOU_2470;;Carabus (Mesocarabus) problematicus Herbst, 1786;1;ad;;male;0.753
ANI-21-0794;barber;1;MOU_2470;;Cicindela (Cicindela) gallica Brulle, 1834;1;ad;;male;0.104
ANI-21-0794;barber;1;MOU_2470;;Dermaptera;2;;;;
ANI-21-0794;barber;1;MOU_2470;;Formicidae;4;ad;;female;
ANI-21-0794;barber;1;MOU_2470;;Lebiinae;1;ad;;male;
ANI-21-0794;barber;1;MOU_2470;;Lithobius Leach, 1814;1;;;;0.004
ANI-21-0794;barber;1;MOU_2470;;Lycosidae;2;juv;;unidentified;
ANI-21-0794;barber;1;MOU_2470;;Polyphaga;2;ad;;;
ANI-21-0794;barber;1;MOU_2470;;Scarabaeoidea;1;ad;;;
ANI-21-0794;barber;1;MOU_2470;;Staphylinidae;15;ad;;;
ANI-21-0805;barber;1;MOU_2720;;Amara (Celia) erratica (Duftschmid, 1812);1;ad;;female;0.014
ANI-21-0805;barber;1;MOU_2720;;Amara (Celia) erratica (Duftschmid, 1812);1;ad;;female;0.021
ANI-21-0805;barber;1;MOU_2720;;Amara (Paracelia) quenseli (Schonherr, 1806);1;ad;;female;0.021
ANI-21-0805;barber;1;MOU_2720;;Dermaptera;2;;;;
ANI-21-0805;barber;1;MOU_2720;;Formicidae;2;ad;;female;
ANI-21-0805;barber;1;MOU_2720;;Hymenoptera;1;ad;;;
ANI-21-0805;barber;1;MOU_2720;;Orthoptera;4;;;;
ANI-21-0805;barber;1;MOU_2720;;Pelecopsis alpica;1;ad;;male;
ANI-21-0805;barber;1;MOU_2720;;Pelecopsis parallela (Wider, 1834);1;ad;;female;
ANI-21-0805;barber;1;MOU_2720;;Polyphaga;5;ad;;;
ANI-21-0805;barber;1;MOU_2720;;Staphylinidae;3;ad;;;
ANI-21-0805;barber;1;MOU_2720;;Thomisidae;1;juv;;unidentified;
ANI-21-0816;barber;1;RIS_1900;;Agroeca proxima (O. P.-Cambridge, 1871);1;ad;;female;
ANI-21-0816;barber;1;RIS_1900;;Bolyphantes alticeps (Sundevall, 1833);1;ad;;male;
ANI-21-0816;barber;1;RIS_1900;;Cicadellidae;4;;;;
ANI-21-0816;barber;1;RIS_1900;;Collembola;3;;;;
ANI-21-0816;barber;1;RIS_1900;;Deroceras sp Rafinesque 1820;1;;;hermaphrodite;
ANI-21-0816;barber;1;RIS_1900;;Dysderidae;1;juv;;unidentified;
ANI-21-0816;barber;1;RIS_1900;;Formicidae;302;ad;;female;
ANI-21-0816;barber;1;RIS_1900;;Harpactocrates drassoides (Simon, 1882);1;ad;;male;
ANI-21-0816;barber;1;RIS_1900;;Linyphiidae Blackwall, 1859;1;juv;;unidentified;
ANI-21-0816;barber;1;RIS_1900;;Pardosa monticola (Clerck, 1758);1;ad;;female;
ANI-21-0816;barber;1;RIS_1900;;Tenuiphantes mengei (Kulczynski, 1887);1;ad;;male;
ANI-21-0816;barber;1;RIS_1900;;Tipulidae;1;larv;;;
ANI-21-0816;barber;1;RIS_1900;ANI-21-0816-alticini;Chrysomeloidea;1;ad;;;
ANI-21-0816;barber;1;RIS_1900;ANI-21-0816-curcu;Curculionidae;1;ad;;;
