"idsite","site","idplot","codeplot","sample_label","type","code_anasol","value","unite","date"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA β-D-cellubiosidase (CB) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA β-Glucosidase (BG)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA β-Xylosidase (XYL) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","MO_2mm",7.05645161290325,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","MO_5.6mm",6.08695652173908,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","Nitrogen_prct _ 2mm",0.122467808425426,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","pH - H2O 1:4 _ 2mm",4.3,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","Carbon_prct _ 2mm",17.6015071868896,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA Leucine aminopeptidase (LAP) ",126.1,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1167.02,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA Phosphatase (PHOS)",7353.31,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA α-Glucosidase (AG)",183.8,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA β-D-cellubiosidase (CB) ",576.24,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA β-Glucosidase (BG)",1694.8,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","EEA β-Xylosidase (XYL) ",720.11,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","MO_2mm",29.5833333333334,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","MO_5.6mm",30.8900523560209,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","Nitrogen_prct _ 2mm",0.666491329669952,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_007","LIT","pH - H2O 1:4 _ 2mm",3.81,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","Carbon_prct _ 2mm",28.1507816314697,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA Leucine aminopeptidase (LAP) ",147.92,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1492.84,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA Phosphatase (PHOS)",9971.07,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA α-Glucosidase (AG)",275.99,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA β-D-cellubiosidase (CB) ",887.72,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA β-Glucosidase (BG)",2279.64,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","EEA β-Xylosidase (XYL) ",1118.11,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","MO_2mm",54.9145299145299,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","MO_5.6mm",54.5180722891566,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","Nitrogen_prct _ 2mm",0.961439251899719,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_008","LIT","pH - H2O 1:4 _ 2mm",3.8,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","Carbon_prct _ 2mm",18.8957386016845,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA Leucine aminopeptidase (LAP) ",268.63,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1599.13,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA Phosphatase (PHOS)",10199.2,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA α-Glucosidase (AG)",256.37,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA β-D-cellubiosidase (CB) ",88.33,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA β-Glucosidase (BG)",2959.13,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","EEA β-Xylosidase (XYL) ",302.42,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","MO_2mm",35.6394129979036,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","MO_5.6mm",38.0614657210402,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","Nitrogen_prct _ 2mm",0.679143249988555,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_009","LIT","pH - H2O 1:4 _ 2mm",4.65,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","Carbon_prct _ 2mm",5.09668207168579,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA Leucine aminopeptidase (LAP) ",43.52,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",646.89,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA Phosphatase (PHOS)",2485.53,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA α-Glucosidase (AG)",32.87,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA β-D-cellubiosidase (CB) ",128.66,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA β-Glucosidase (BG)",688.21,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","EEA β-Xylosidase (XYL) ",272.51,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","MO_2mm",10.2040816326531,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","MO_5.6mm",12.4705882352941,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","Nitrogen_prct _ 2mm",0.206317320466042,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_010","SOL","pH - H2O 1:4 _ 2mm",4.04,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","Carbon_prct _ 2mm",4.752037525177,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA Leucine aminopeptidase (LAP) ",36.18,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",569.56,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA Phosphatase (PHOS)",2063.46,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA α-Glucosidase (AG)",35.89,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA β-D-cellubiosidase (CB) ",110.76,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA β-Glucosidase (BG)",716.75,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","EEA β-Xylosidase (XYL) ",284.89,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","MO_2mm",10.183299389002,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","MO_5.6mm",10.204081632653,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","Nitrogen_prct _ 2mm",0.178487002849579,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_011","SOL","pH - H2O 1:4 _ 2mm",4.14,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","Carbon_prct _ 2mm",4.44799995422363,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA Leucine aminopeptidase (LAP) ",71.96,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",1266.78,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA Phosphatase (PHOS)",5267.81,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA α-Glucosidase (AG)",27.41,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA β-Glucosidase (BG)",2950.57,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","EEA β-Xylosidase (XYL) ",136.83,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","MO_2mm",9.75609756097562,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","MO_5.6mm",12.5,"","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","Nitrogen_prct _ 2mm",0.165629997849464,"ratio","2017-09-07"
2,"Argentière",32,"ARG_1620","M17_012","SOL","pH - H2O 1:4 _ 2mm",4.5,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","Carbon_prct _ 2mm",32.1346168518066,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA Leucine aminopeptidase (LAP) ",151.49,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",NA,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA Phosphatase (PHOS)",13245.53,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA α-Glucosidase (AG)",105.28,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA β-Glucosidase (BG)",868.27,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","EEA β-Xylosidase (XYL) ",833.42,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","MO_2mm",63.5775862068966,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","MO_5.6mm",63.5036496350365,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","Nitrogen_prct _ 2mm",1.35001349449157,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_013","LIT","pH - H2O 1:4 _ 2mm",3.85,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","Carbon_prct _ 2mm",23.2452869415283,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA Leucine aminopeptidase (LAP) ",215.17,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1382.03,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA Phosphatase (PHOS)",16298.22,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA α-Glucosidase (AG)",151.23,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA β-D-cellubiosidase (CB) ",198.98,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA β-Glucosidase (BG)",2061.26,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","EEA β-Xylosidase (XYL) ",734.3,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","MO_2mm",46.9214437367304,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","MO_5.6mm",49.1467576791809,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","Nitrogen_prct _ 2mm",1.02879059314727,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_014","LIT","pH - H2O 1:4 _ 2mm",4.15,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","Carbon_prct _ 2mm",20.8637104034423,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA Leucine aminopeptidase (LAP) ",159.84,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1675.01,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA Phosphatase (PHOS)",9897.91,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA α-Glucosidase (AG)",62.42,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA β-D-cellubiosidase (CB) ",227.32,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA β-Glucosidase (BG)",2072.12,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","EEA β-Xylosidase (XYL) ",505.83,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","MO_2mm",39.1578947368421,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","MO_5.6mm",34.9854227405248,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","Nitrogen_prct _ 2mm",0.886574149131774,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_015","LIT","pH - H2O 1:4 _ 2mm",4.36,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","Carbon_prct _ 2mm",12.2995719909667,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA Leucine aminopeptidase (LAP) ",54.37,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",239.64,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA Phosphatase (PHOS)",4456.22,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA α-Glucosidase (AG)",5.04,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA β-Glucosidase (BG)",0,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","EEA β-Xylosidase (XYL) ",442.17,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","MO_2mm",22.3140495867769,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","MO_5.6mm",23.3802816901409,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","Nitrogen_prct _ 2mm",0.45303601026535,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_016","SOL","pH - H2O 1:4 _ 2mm",3.85,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","Carbon_prct _ 2mm",8.44575309753417,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA Leucine aminopeptidase (LAP) ",93.95,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",264.03,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA Phosphatase (PHOS)",4990.92,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA α-Glucosidase (AG)",2.29,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA β-Glucosidase (BG)",236.66,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","EEA β-Xylosidase (XYL) ",285.99,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","MO_2mm",18.2194616977225,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","MO_5.6mm",11.9402985074627,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","Nitrogen_prct _ 2mm",0.369147837162018,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_017","SOL","pH - H2O 1:4 _ 2mm",4.28,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","Carbon_prct _ 2mm",5.54503536224365,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA Leucine aminopeptidase (LAP) ",89.23,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",738.74,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA Phosphatase (PHOS)",6704.84,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA α-Glucosidase (AG)",37.3,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA β-D-cellubiosidase (CB) ",83.49,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA β-Glucosidase (BG)",1365.3,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","EEA β-Xylosidase (XYL) ",446.6,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","MO_2mm",12.0654396728016,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","MO_5.6mm",17.6470588235294,"","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","Nitrogen_prct _ 2mm",0.23560032248497,"ratio","2017-09-07"
2,"Argentière",33,"ARG_1790","M17_018","SOL","pH - H2O 1:4 _ 2mm",4.18,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","Carbon_prct _ 2mm",31.175724029541,"ratio","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA Leucine aminopeptidase (LAP) ",170.71,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",NA,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA Phosphatase (PHOS)",13511.27,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA α-Glucosidase (AG)",116.79,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA β-Glucosidase (BG)",1248.3,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","EEA β-Xylosidase (XYL) ",1136.7,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","MO_2mm",60.7296137339055,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","MO_5.6mm",65.1006711409396,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","Nitrogen_prct _ 2mm",1.17459964752197,"ratio","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_019","LIT","pH - H2O 1:4 _ 2mm",3.93,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","Carbon_prct _ 2mm",41.3332557678222,"ratio","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","EEA Leucine aminopeptidase (LAP) ",230.46,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1513.371806,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","EEA Phosphatase (PHOS)",20515.4,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","EEA α-Glucosidase (AG)",103.43,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",34,"ARG_2000","M17_020","LIT","EEA β-Glucosidase (BG)",1151.8,"","2017-09-07"
